source_way,target_way
26085214,26085221
26085214,837149879
26085221,75720780
837149879,26165252
837149879,837149880
26085218,26085219
26085218,837150473
26085218,837150474
26085219,361539731
837150473,837150474
837150474,75720780
361539731,26165252
26093589,26114051
26093589,145575684
26114051,26114006
145575684,145575691
26165077,145641283
26165077,145641284
26165077,145641266
26165077,145622799
146001018,145668596
146001018,145668590
146001018,145667216
146001018,145667219
146001018,145619197
146001018,145668547
146001018,145667108
146001018,145668554
146001018,145668592
146001018,145668561
146001018,145667220
146001018,145668534
146001018,145668538
146001018,145668542
146001018,145668569
146001018,145668543
146001018,145668555
145667226,145667222
145667226,145667216
145667226,145667219
145667226,145667646
145667226,145668597
145667226,145668561
145667226,145668589
145667226,145668533
145667226,145667649
145667226,692589687
145667226,145668534
145667226,145668538
145667226,145668542
145667226,145668569
26114006,26115647
26114008,145575679
26114008,26114009
145575679,145575682
26114009,26115647
26115647,26115663
26115647,26115665
26115166,26115168
26115168,145575691
26115170,26115171
26115170,145575682
26115171,26115197
26115663,26115686
26115665,26115686
26115686,26115695
26115695,367733434
367733435,26115765
367733434,26115768
884156911,26115714
884156911,145603825
884156911,145589362
26115714,859505885
26115714,30036784
26115714,145603823
859505885,30036784
859505885,30031771
859505885,145691151
859505885,145603823
859505885,884168060
30036784,521958937
30036784,30048528
30036784,145603823
26115765,26115766
26115767,26115768
832191299,38237486
832191299,26115860
832191299,38237482
832191299,884268459
26476154,588309004
588309004,442013126
884810749,523951636
884810749,26115835
884810749,145463691
523951636,75720776
523951636,26115835
523951636,851764810
523951636,30037552
523951636,30037474
26115835,75720760
26115835,30037381
75720760,75720765
75720760,145663333
75720760,75720784
75720760,884810746
75720760,75720787
75720760,884810745
30037381,38237481
30037381,34320312
26155506,145663575
145663575,145663576
145663576,145663579
865293037,30038600
865293037,26155593
865293037,30040389
30038600,26155593
30038600,145412841
30038600,30038628
30038600,30039760
30038600,30038643
30038600,30039761
30038600,30039843
30038600,145412823
30038600,145412835
30038600,145412840
30038600,145412900
30038600,30040120
30038600,145412903
26155593,30040361
26155593,136294413
26155593,30037591
30040361,30040359
30040361,145412827
30040361,145425997
136294413,137135113
136294413,26155618
136294413,30037314
136294413,30037593
30037591,145739590
137135113,26155618
137135113,516273483
26155618,145425896
26155618,30040358
26155618,516271680
26155618,516271681
145425896,145412815
30040358,516271680
30040358,516273482
30040358,516271681
30040358,516273481
516271680,145412841
516271680,30038628
516271680,145412900
516271680,30036699
516271680,516271681
516271680,145412834
26155625,26155623
26155625,484866657
484866657,30038777
484866657,484866658
157310434,157310425
26476667,26165210
26476667,38237486
26165210,26165244
26165210,837149881
26165244,401161029
26165244,837149881
401161029,276958756
401161029,367400166
26165252,837149880
837149880,837149881
857613992,26165288
857613992,142796072
857613992,884145896
857613992,857614000
857613992,857614002
26165288,142796072
26165288,884145896
26165288,446055403
26165288,30037811
26165288,857614002
142796072,857614001
142796072,884145896
142796072,857614002
884145896,857614002
884145896,362550363
857614000,590430066
446055403,30037811
446055403,362550419
30037811,884567982
30037811,30037778
884567982,26165436
884567982,30037778
884567982,30037826
26165436,26165438
26165438,145479883
145479883,85382137
145479883,145464567
442013126,442013129
442013127,459156950
442013127,445644497
459156950,442013128
884168060,30031771
884168060,145691151
884168060,859505884
30031771,521958937
30031771,145629947
30031771,145691151
521958937,546947402
145629947,30036663
145593694,145603820
145593694,30031784
145593694,859508341
145593693,30031819
145593693,744526321
145593693,30031784
30037705,145674438
30037705,145674428
30037705,624686568
30037705,30031784
30031801,145666295
30031801,145760185
30031801,884268461
145663341,75720784
145663341,884268461
145663341,75720765
145666295,884810745
145666295,145663347
145760185,884810745
145760185,145663347
145760185,145760198
145760185,145760231
884810745,884810746
884810745,75720787
30031819,30047303
30031819,663717064
30031819,744526321
30047303,145661427
30047303,145661426
30047303,145661617
663717064,663717065
321808983,30032067
321808983,883623353
321808983,111681241
321808983,883623352
321808983,145587413
30032067,883623353
30032067,362550509
30032067,782610299
883623353,362550364
883623353,321808977
111681241,486691218
111681241,276958756
883623352,321808981
883623352,486491742
883623352,321808980
883623352,321808977
145587413,884186808
362550509,147298493
362550509,145587420
362550509,73181879
362550509,782610298
744526318,119419490
744526318,516271686
744526318,744526319
744526318,30038830
145392199,30038818
145392199,484866658
145392199,744526319
145392199,30038824
30038824,30038830
30036699,516271685
30036699,516271684
30036699,145737727
30036699,516271686
145412841,30038764
145412841,30038627
145412841,145737727
516271685,30038777
516271685,30038818
516271685,145393886
516271685,145393144
516271685,516271684
516271684,30038628
516271684,516273484
516271684,516271683
