id_way,node_id,cross_ways
26085214,"{1592986465, 285476614, 286514151, 1592986568, 1589504807, 1592986510, 1592986543, 1592986482, 283921394, 283921685, 1592986485}","{26085221, 837149879}"
26085221,"{283923738, 285476614}","{75720780, 26085214}"
837149879,"{1592986475, 286514093, 286514095, 286514096, 1592986546, 1592986550, 1592986455, 1589504729}","{837149880, 26165252}"
26085218,"{5790968261, 5790968263, 5790968264, 5790968265, 285475348, 285475959, 285476408, 285476410, 285475960}","{837150473, 837150474, 26085219}"
26085219,"{285476408, 285476819}","{26085218, 361539731}"
837150473,"{5790968298, 285475348}","{26085218, 837150474}"
837150474,"{5790968293, 5790968294, 5790968297, 5790968275, 5790968276, 5790968277, 285475349, 5790968278}",{75720780}
361539731,"{1590359401, 285476819}","{26085219, 26165252}"
75720780,"{5790968249, 283923738, 5790968294}",{26085221}
26093589,"{1589050563, 1589050564, 1589085379, 285892810, 286415614, 1589085460, 285883355, 1590341532, 285883356, 285892961, 285892775, 286415592, 285893032, 286415407, 1589050549, 285892986, 285892478, 286415487}","{26114051, 145575684}"
26114051,"{285883361, 285883355}","{26093589, 26114006}"
145575684,"{285893032, 285893033}","{145575691, 26093589}"
26165077,"{330779555, 1590154917, 286512744, 8194086089, 1590154763, 286512760, 1590155101}","{145641266, 145641283, 145641284, 145622799}"
145641283,"{1590154986, 1590155101}",{26165077}
146001018,"{1590381504, 1590381521, 1590381525, 1590395515, 1590381516, 1590381502}","{145668596, 145668590}"
145667226,"{1590395584, 1590381601, 1590381602, 1590381635, 1590381604, 1590381600, 1590395599, 1590381597, 1590395604, 1590381622, 1590395608, 1590381657, 1590395613, 1590375839}","{145667649, 145668589, 145667216, 145668561, 145667219, 145668597, 145667222, 145668533, 692589687, 145667646}"
26114006,"{285883361, 285897506, 285897448, 285883592, 285897450, 285897451, 3287093420, 285897453, 285883593, 285897519, 285897520, 3287093423, 1504192182, 285883359}",{26115647}
26114008,"{285883253, 285883391}","{26114009, 145575679}"
145575679,"{1590341632, 285892802, 285893061, 285892978, 285892854, 285892855, 285893018, 286415678}",{145575682}
26114009,"{285897507, 285897508, 285897509, 1589595655, 285883368, 285883370, 1589595664, 285897456, 285897458, 285897460, 285883253, 285897430, 285897493, 285883256}","{26114008, 26115647}"
26115647,"{285897491, 285897493, 285897497, 285897499, 285897500, 285897501, 285897503, 285897505, 285897506, 285897510, 285897511, 285897512, 285897513, 285897514, 285897515, 285897516, 285897517, 285897518, 1504192188}","{26115665, 26114009, 26114006, 26115663}"
26115166,"{285893324, 285893100, 3771473045}",{26115168}
26115168,"{285893076, 285893100}","{145575691, 26115166}"
145575691,"{285893033, 1590878203, 285892679}",{145575684}
26115170,"{285893043, 285893044, 285892214, 1590878219, 285893118}","{145575682, 26115171}"
26115171,"{285893098, 285893118}","{26115170, 26115197}"
145575682,"{285893018, 285893044}","{26115170, 145575679}"
26115197,"{285893098, 285893375}",{26115171}
26115663,"{285897571, 285897767, 285897514, 1589212849, 285897591, 285897592, 285897817, 285897818, 285897819, 285897820}","{26115686, 26115647}"
26115665,"{285897602, 285897827, 285897828, 285897829, 285897604, 285897803, 1589212852, 1589595956, 1589596092}",{26115686}
26115686,"{285897779, 285897764, 285897803, 285897804}",{26115665}
26115695,"{285898499, 285898502, 285898503, 1589596322, 285897830, 285898215, 285897832, 285897771, 285898539, 285898540, 285897841, 285897842, 285898289, 285898292, 285898293, 285898295, 285898296, 285898299}","{367733434, 26115686}"
367733435,"{285898521, 285898522, 285898309}",{26115765}
367733434,"{1589596322, 285898542}","{26115768, 26115695}"
884156911,"{8118434508, 1588233141, 330696247}","{145603825, 26115714, 145589362}"
26115714,"{1588233090, 1588233064, 1588233131, 8011649294, 330696244, 1588233141, 1588575958, 8292203993, 1588575964}","{30036784, 145603823, 859505885, 884156911}"
859505885,"{330696244, 1504175876, 1588633287, 330696239}","{26115714, 145691151, 30036784, 145603823, 30031771}"
30036784,"{8110054117, 2179310375, 2179310376, 1588575848, 2179310377, 8250850251, 330947415, 330695838}","{30048528, 521958937}"
26115765,"{285898520, 285898521, 285898562}","{367733435, 26115766}"
26115766,"{285898520, 285898530}",{26115765}
26115767,"{285898536, 285898505, 285898537}",{26115768}
26115768,"{285898505, 285898542}","{367733434, 26115767}"
145592652,"{1589807520, 1589807521, 1589807522, 1589807525, 9454429266, 1589844404, 1589844054, 1589807512, 1589807513, 1589807514, 1589807517}",set()
832191299,"{7755275840, 7769644962, 7826565538, 7755275829, 7755275830, 7755275831, 7769644956}",{38237486}
26476154,"{1589782497, 290164140}",{588309004}
588309004,"{1589782497, 1271954010}","{26476154, 442013126}"
884810749,"{894189346, 8228241720, 8110054185, 393664591}","{26115835, 523951636}"
523951636,"{3726927829, 8074500726, 330784310, 1503688871, 1503688895}",{75720776}
26115835,"{1591365888, 8168425614, 8192528402, 1591365536, 1591366180, 8110054186, 8110054188, 1591366317, 1591365422, 1591366062, 1588412207, 8110054190, 4053921722, 4053921723, 330783166, 330783167, 330783168, 330783169, 4052833602, 330783172, 4053921738, 330783178, 4053921741, 393664591, 4053921743, 4053921747, 1588714196, 1591365975, 1591366106, 1591365596, 8354004711, 1588412144, 8944766576}","{75720760, 523951636, 884810749, 30037381}"
75720760,"{1591366400, 1591366403, 8223625924, 1590340426, 893961358, 893961366, 893961370, 893961374, 9663765663, 9896541157, 893961384, 8110054189, 1591366382, 1591366383, 1588412207, 1591366385, 8099117746, 1591366387, 893961395, 893961336, 1591366398}","{145663333, 75720784, 75720787, 884810746, 26115835, 75720765}"
30037381,"{8181646688, 1590519781, 8031554214, 5255278597, 1590519720, 4049653349, 8031554223, 1590519858, 1590910614, 330783161, 330783162, 330783163, 330783164, 330783165, 330783166}","{34320312, 38237481, 26115835}"
26115860,"{1835390594, 1835390596, 285899718, 7826565543, 1835390599, 1590520175, 1835390591, 7613304146, 285899734, 285899191, 5481346970, 7613304159}",{832191299}
26155506,"{286415011, 286414887}",{145663575}
145663575,"{1590342281, 286414887}","{145663576, 26155506}"
145663576,"{286414760, 1590342281}","{145663579, 145663575}"
865293037,"{286415954, 330819708, 8405263791}","{30038600, 26155593, 30040389}"
30038600,"{1588314944, 330799306, 330812237, 1590029005, 1588314959, 286415954, 4049515410, 4049515416, 330799449, 330799261, 330820510, 8074500767, 330820322, 8074500773, 8074500776, 330813352, 8410626603, 8074500779, 1588314993, 330799795, 1588314936, 1588414906, 1588314938}","{145412835, 30038628, 145412900, 30039843, 145412903, 145412840, 26155593, 145412841, 865293037, 30039760, 30039761, 30038643, 145412823, 30040120}"
